"Name","MedianAge","MedianAge2000","Population","AnnualPopulationGrowth","GenderInequalityIndex","AdolescentFertilityRate","GrossNationalIncomePerCapita","MeanYearsSchooling","LifeExpectancyAtBirth","GDP","number","continent"
"Singapore",37.6,34.1,5.3,1.1,13,6.7,52613,10.1,81.2,277.8,"19","East Asia and the Pacific"
"France",39.9,37.7,63.5,0.5,9,6,30277,10.6,81.7,1951.2,"20","Europe and Central Asia"
"Finland",42,39.3,5.4,0.3,6,9.3,32510,10.3,80.1,173.8,"21","Europe and Central Asia"
"Slovenia",41.7,38,2,0.2,8,4.5,23999,11.7,79.5,51.2,"22","Europe and Central Asia"
"Spain",40.1,37.6,46.8,0.6,15,10.7,25947,10.4,81.6,1251.3,"23","Europe and Central Asia"
"Liechtenstein",NA,NA,0,0.8,NA,6,84880,10.3,79.8,NA,"24","Europe and Central Asia"
"Italy",43.2,40.2,61,0.2,11,4,26158,10.1,82,1645,"25","Europe and Central Asia"
"Luxembourg",38.9,37.3,0.5,1.4,26,8.4,48285,10.1,80.1,35.4,"26","Europe and Central Asia"
"United Kingdom",39.8,37.7,62.8,0.6,34,29.7,32538,9.4,80.3,2034.2,"27","Europe and Central Asia"
"Czech Republic",39.4,37.4,10.6,0.3,20,9.2,22067,12.3,77.8,252.8,"28","Europe and Central Asia"
"Greece",41.4,38.3,11.4,0.2,23,9.6,20511,10.1,80,255,"29","Europe and Central Asia"
"Brunei Darussalam",28.9,25.8,0.4,1.7,NA,22.7,45690,8.6,78.1,18.2,"30","East Asia and the Pacific"
"Cyprus",34.2,31.8,1.1,1.1,22,5.5,23825,9.8,79.8,21,"31","Europe and Central Asia"
"Malta",39.5,36.1,0.4,0.3,39,11.8,21184,9.9,79.8,9.6,"32","Europe and Central Asia"
"Andorra",NA,NA,0.1,1.5,NA,7.3,33918,10.4,81.1,NA,"33","Europe and Central Asia"
"Estonia",39.7,37.9,1.3,-0.1,29,17.2,17402,12,75,24,"34","Europe and Central Asia"
"Slovakia",36.9,33.6,5.5,0.2,32,16.7,19696,11.6,75.6,112.9,"35","Europe and Central Asia"
"Qatar",31.6,30.3,1.9,2.9,117,15.5,87478,7.3,78.5,145.8,"36","Arab States"
"Hungary",39.8,38.5,9.9,-0.2,42,13.6,16088,11.7,74.6,172.5,"37","Europe and Central Asia"
"Barbados",37.5,33.6,0.3,0.2,61,40.8,17308,9.3,77,4.8,"38","Europe and Central Asia"
"Poland",38,35.3,38.3,0,24,12.2,17776,10,76.3,691.2,"39","Europe and Central Asia"
